fic_id,chapter_id,para_id,text,text_tokenized
pride_0,1,1,﻿[Pride and Prejudice by Jane Austen 1818 ,﻿[Pride and Prejudice by Jane Austen 1818 
pride_0,1,2,] ,] 
pride_0,2,1, I. , I. 
pride_0,2,2,"It is a truth universally acknowledged , that a single man in possession of a good fortune must be in want of a wife . ","It is a truth universally acknowledged , that a single man in possession of a good fortune must be in want of a wife . "
pride_0,2,3,"However little known the feelings or views of such a man may be on his first entering a neighbourhood , this truth is so well fixed in the minds of the surrounding families , that he is considered as the rightful property of some one or other of their daughters . ","However little known the feelings or views of such a man may be on his first entering a neighbourhood , this truth is so well fixed in the minds of the surrounding families , that he is considered as the rightful property of some one or other of their daughters . "
pride_0,2,4,"“ My dear Mr. Bennet , ” said his lady to him one day , “ have you heard that Netherfield Park is let at last ? ” ","“ My dear Mr. Bennet , ” said his lady to him one day , “ have you heard that Netherfield Park is let at last ? ” "
pride_0,2,5,"Mr. Bennet replied that he had not . “ But it is , ” returned she ; “ for Mrs. Long has just been here , and she told me all about it . ” ","Mr. Bennet replied that he had not . “ But it is , ” returned she ; “ for Mrs. Long has just been here , and she told me all about it . ” "
pride_0,2,6,Mr. Bennet made no answer . ,Mr. Bennet made no answer . 
pride_0,2,7,"“ Do not you want to know who has taken it ? ” cried his wife , impatiently . ","“ Do not you want to know who has taken it ? ” cried his wife , impatiently . "
pride_0,2,8,"“ _ You _ want to tell me , and I have no objection to hearing it . ” ","“ _ You _ want to tell me , and I have no objection to hearing it . ” "
pride_0,2,9,[ Illustration : “ He came down to see the place ” [ _ Copyright 1894 by George Allen . ,[ Illustration : “ He came down to see the place ” [ _ Copyright 1894 by George Allen . 
pride_0,2,10,_ ,_ 
pride_0,2,11,] ,] 
pride_0,2,12,] This was invitation enough . ,] This was invitation enough . 
pride_0,2,13,"“ Why , my dear , you must know , Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England ; that he came down on Monday in a chaise and four to see the place , and was so much delighted with it that he agreed with Mr. Morris immediately ; that he is to take possession before Michaelmas , and some of his servants are to be in the house by the end of next week . ” ","“ Why , my dear , you must know , Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England ; that he came down on Monday in a chaise and four to see the place , and was so much delighted with it that he agreed with Mr. Morris immediately ; that he is to take possession before Michaelmas , and some of his servants are to be in the house by the end of next week . ” "
pride_0,2,14,“ What is his name ? ” “ Bingley . ” ,“ What is his name ? ” “ Bingley . ” 
pride_0,2,15,“ Is he married or single ? ” ,“ Is he married or single ? ” 
pride_0,2,16,"“ Oh , single , my dear , to be sure ! ","“ Oh , single , my dear , to be sure ! "
pride_0,2,17,A single man of large fortune ; four or five thousand a year . ,A single man of large fortune ; four or five thousand a year . 
pride_0,2,18,What a fine thing for our girls ! ” ,What a fine thing for our girls ! ” 
pride_0,2,19,“ How so ? ,“ How so ? 
pride_0,2,20,how can it affect them ? ” ,how can it affect them ? ” 
pride_0,2,21,"“ My dear Mr. Bennet , ” replied his wife , “ how can you be so tiresome ? ","“ My dear Mr. Bennet , ” replied his wife , “ how can you be so tiresome ? "
pride_0,2,22,You must know that I am thinking of his marrying one of them . ” ,You must know that I am thinking of his marrying one of them . ” 
pride_0,2,23,“ Is that his design in settling here ? ” “ Design ? ,“ Is that his design in settling here ? ” “ Design ? 
pride_0,2,24,"Nonsense , how can you talk so ! ","Nonsense , how can you talk so ! "
pride_0,2,25,"But it is very likely that he _ may _ fall in love with one of them , and therefore you must visit him ","But it is very likely that he _ may _ fall in love with one of them , and therefore you must visit him "
pride_0,2,26,as soon as he comes ,as soon as he comes 
pride_0,2,27,. ,. 
pride_0,2,28,” ,” 
pride_0,2,29,“ I see no occasion for that . ,“ I see no occasion for that . 
pride_0,2,30,"You and the girls may go -- or you may send them by themselves , which perhaps will be still better ; for as you are as handsome as any of them ","You and the girls may go -- or you may send them by themselves , which perhaps will be still better ; for as you are as handsome as any of them "
pride_0,2,31,", Mr. Bingley might like you the best of the party . ” ",", Mr. Bingley might like you the best of the party . ” "
pride_0,2,32,"“ My dear , you flatter me . ","“ My dear , you flatter me . "
pride_0,2,33,"I certainly _ have _ had my share of beauty , but I do not pretend to be anything extraordinary now . ","I certainly _ have _ had my share of beauty , but I do not pretend to be anything extraordinary now . "
pride_0,2,34,"When a woman has five grown - up daughters , she ought to give over thinking of her own beauty . ","When a woman has five grown - up daughters , she ought to give over thinking of her own beauty . "
pride_0,2,35,” ,” 
pride_0,2,36,"“ In such cases , a woman has not often much beauty to think of . ” ","“ In such cases , a woman has not often much beauty to think of . ” "
pride_0,2,37,"“ But , my dear , you must indeed go and see Mr. Bingley when he comes into the neighbourhood . ” “ It is more than I engage for , I assure you . ” “ But consider your daughters . ","“ But , my dear , you must indeed go and see Mr. Bingley when he comes into the neighbourhood . ” “ It is more than I engage for , I assure you . ” “ But consider your daughters . "
pride_0,2,38,Only think what an establishment it would be for one of them . ,Only think what an establishment it would be for one of them . 
pride_0,2,39,"Sir William and Lady Lucas are determined to go , merely on that account ; for in general , you know , they visit no new comers . ","Sir William and Lady Lucas are determined to go , merely on that account ; for in general , you know , they visit no new comers . "
pride_0,2,40,"Indeed you must go , for it will be impossible for _ us _ to visit him , if you do not . ” ","Indeed you must go , for it will be impossible for _ us _ to visit him , if you do not . ” "
pride_0,2,41,"“ You are over scrupulous , surely . ","“ You are over scrupulous , surely . "
pride_0,2,42,I dare say Mr. Bingley will be very glad to see you ; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls -- though ,I dare say Mr. Bingley will be very glad to see you ; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls -- though 
pride_0,2,43,I must throw in a good word for my little Lizzy . ” ,I must throw in a good word for my little Lizzy . ” 
pride_0,2,44,“ I desire you will do no such thing . ,“ I desire you will do no such thing . 
pride_0,2,45,"Lizzy is not a bit better than the others : and I am sure she is not half so handsome as Jane , nor half so good - humoured as Lydia . ","Lizzy is not a bit better than the others : and I am sure she is not half so handsome as Jane , nor half so good - humoured as Lydia . "
pride_0,2,46,But you are always giving _ her _ the preference . ” ,But you are always giving _ her _ the preference . ” 
pride_0,2,47,"“ They have none of them much to recommend them , ” replied he : “ they are all silly and ignorant like other girls ; but Lizzy has something more of quickness than her sisters . ” “ Mr. Bennet , how can you abuse your own children in such a way ? ","“ They have none of them much to recommend them , ” replied he : “ they are all silly and ignorant like other girls ; but Lizzy has something more of quickness than her sisters . ” “ Mr. Bennet , how can you abuse your own children in such a way ? "
pride_0,2,48,You take delight in vexing me . ,You take delight in vexing me . 
pride_0,2,49,You have no compassion on my poor nerves . ” ,You have no compassion on my poor nerves . ” 
pride_0,2,50,"“ You mistake me , my dear . ","“ You mistake me , my dear . "
pride_0,2,51,I have a high respect for your nerves . ,I have a high respect for your nerves . 
pride_0,2,52,They are my old friends . ,They are my old friends . 
pride_0,2,53,I have heard you mention them with consideration these twenty years at least . ” ,I have heard you mention them with consideration these twenty years at least . ” 
pride_0,2,54,"“ Ah , you do not know what I suffer . ” “ But I hope you will get over it , and live to see many young men of four thousand a year come into the neighbourhood . ","“ Ah , you do not know what I suffer . ” “ But I hope you will get over it , and live to see many young men of four thousand a year come into the neighbourhood . "
pride_0,2,55,” ,” 
pride_0,2,56,"“ It will be no use to us , if twenty such should come , since you will not visit them . ” ","“ It will be no use to us , if twenty such should come , since you will not visit them . ” "
pride_0,2,57,"“ Depend upon it , my dear , that when there are twenty , I will visit them all . ” Mr. Bennet was so odd a mixture of quick parts , sarcastic humour , reserve , and caprice , that the experience of three - and - twenty years had been insufficient to make his wife understand his character . ","“ Depend upon it , my dear , that when there are twenty , I will visit them all . ” Mr. Bennet was so odd a mixture of quick parts , sarcastic humour , reserve , and caprice , that the experience of three - and - twenty years had been insufficient to make his wife understand his character . "
pride_0,2,58,_ Her _ mind was less difficult to develope . ,_ Her _ mind was less difficult to develope . 
pride_0,2,59,"She was a woman of mean understanding , little information , and uncertain temper . ","She was a woman of mean understanding , little information , and uncertain temper . "
pride_0,2,60,"When she was discontented , she fancied herself nervous . ","When she was discontented , she fancied herself nervous . "
pride_0,2,61,The business of her life was to get her daughters married : its solace was visiting and news . ,The business of her life was to get her daughters married : its solace was visiting and news . 
pride_0,2,62,[ Illustration : M^{r . } & M^{rs . } Bennet [ _ Copyright 1894 by George Allen . ,[ Illustration : M^{r . } & M^{rs . } Bennet [ _ Copyright 1894 by George Allen . 
pride_0,2,63,_ ,_ 
pride_0,2,64,] ,] 
pride_0,2,65,] ,] 
pride_0,2,66,[ Illustration : “ I hope Mr. Bingley will like it ” [ _ Copyright 1894 by George Allen . ,[ Illustration : “ I hope Mr. Bingley will like it ” [ _ Copyright 1894 by George Allen . 
pride_0,2,67,_ ,_ 
pride_0,2,68,] ,] 
pride_0,2,69,] ,] 
