fic_id,chapter_id,para_id,text,text_tokenized
sense_10,1,1," 20 As the Miss Dashwoods entered the drawing - room of the park the next day , at one door , Mrs. Palmer came running in at the other , looking as good humoured and merry as before . "," 20 As the Miss Dashwoods entered the drawing - room of the park the next day , at one door , Mrs. Palmer came running in at the other , looking as good humoured and merry as before . "
sense_10,1,2,"She took them all most affectionately by the hand , and expressed great delight in seeing them again . "" I am so glad to see you ! "" said she , seating herself between Elinor and Marianne , "" for it is so bad a day I was afraid you might not come , which would be a shocking thing , as we go away again tomorrow . We must go , for the Westons come to us next week you know . ","She took them all most affectionately by the hand , and expressed great delight in seeing them again . "" I am so glad to see you ! "" said she , seating herself between Elinor and Marianne , "" for it is so bad a day I was afraid you might not come , which would be a shocking thing , as we go away again tomorrow . We must go , for the Westons come to us next week you know . "
sense_10,1,3,"It was quite a sudden thing our coming at all , and I knew nothing of it till the carriage was coming to the door , and then Mr. Palmer asked me if I would go with him to Barton . ","It was quite a sudden thing our coming at all , and I knew nothing of it till the carriage was coming to the door , and then Mr. Palmer asked me if I would go with him to Barton . "
sense_10,1,4,He is so droll ! ,He is so droll ! 
sense_10,1,5,He never tells me any thing ! ,He never tells me any thing ! 
sense_10,1,6,"I am so sorry we can not stay longer ; however we shall meet again in town very soon , I hope . "" They were obliged to put an end to such an expectation . ","I am so sorry we can not stay longer ; however we shall meet again in town very soon , I hope . "" They were obliged to put an end to such an expectation . "
sense_10,1,7,""" Not go to town ! "" cried Mrs. Palmer , with a laugh , "" I shall be quite disappointed if you do not . ",""" Not go to town ! "" cried Mrs. Palmer , with a laugh , "" I shall be quite disappointed if you do not . "
sense_10,1,8,"I could get the nicest house in world for you , next door to ours , in Hanover - square . ","I could get the nicest house in world for you , next door to ours , in Hanover - square . "
sense_10,1,9,"You must come , indeed . ","You must come , indeed . "
sense_10,1,10,"I am sure I shall be very happy to chaperon you at any time till I am confined , if Mrs. Dashwood should not like to go into public . "" ","I am sure I shall be very happy to chaperon you at any time till I am confined , if Mrs. Dashwood should not like to go into public . "" "
sense_10,1,11,They thanked her ; but were obliged to resist all her entreaties . ,They thanked her ; but were obliged to resist all her entreaties . 
sense_10,1,12,""" Oh , my love , "" cried Mrs. Palmer to her husband , who just then entered the room--""you must help me to persuade the Miss Dashwoods to go to town this winter . "" Her love made no answer ; and after slightly bowing to the ladies , began complaining of the weather . "" How horrid all this is ! "" said he . ",""" Oh , my love , "" cried Mrs. Palmer to her husband , who just then entered the room--""you must help me to persuade the Miss Dashwoods to go to town this winter . "" Her love made no answer ; and after slightly bowing to the ladies , began complaining of the weather . "" How horrid all this is ! "" said he . "
sense_10,1,13,""" Such weather makes every thing and every body disgusting . ",""" Such weather makes every thing and every body disgusting . "
sense_10,1,14,"Dullness is as much produced within doors as without , by rain . ","Dullness is as much produced within doors as without , by rain . "
sense_10,1,15,It makes one detest all one 's acquaintance . ,It makes one detest all one 's acquaintance . 
sense_10,1,16,What the devil does Sir John mean by not having a billiard room in his house ? ,What the devil does Sir John mean by not having a billiard room in his house ? 
sense_10,1,17,How few people know what comfort is ! ,How few people know what comfort is ! 
sense_10,1,18,"Sir John is as stupid as the weather . "" The rest of the company soon dropt in . ","Sir John is as stupid as the weather . "" The rest of the company soon dropt in . "
sense_10,1,19,""" I am afraid , Miss Marianne , "" said Sir John , "" you have not been able to take your usual walk to Allenham today . ",""" I am afraid , Miss Marianne , "" said Sir John , "" you have not been able to take your usual walk to Allenham today . "
sense_10,1,20,""" ",""" "
sense_10,1,21,"Marianne looked very grave and said nothing . "" ","Marianne looked very grave and said nothing . "" "
sense_10,1,22,"Oh , do n't be so sly before us , "" said Mrs. Palmer ; "" for we know all about it , I assure you ; and I admire your taste very much , for I think he is extremely handsome . ","Oh , do n't be so sly before us , "" said Mrs. Palmer ; "" for we know all about it , I assure you ; and I admire your taste very much , for I think he is extremely handsome . "
sense_10,1,23,"We do not live a great way from him in the country , you know . ","We do not live a great way from him in the country , you know . "
sense_10,1,24,"Not above ten miles , I dare say . ","Not above ten miles , I dare say . "
sense_10,1,25,""" "" Much nearer thirty , "" said her husband . ",""" "" Much nearer thirty , "" said her husband . "
sense_10,1,26,""" Ah , well ! ",""" Ah , well ! "
sense_10,1,27,there is not much difference . ,there is not much difference . 
sense_10,1,28,I never was at his house ; but they say it is a sweet pretty place . ,I never was at his house ; but they say it is a sweet pretty place . 
sense_10,1,29,""" ",""" "
sense_10,1,30,""" As vile a spot as I ever saw in my life , "" said Mr. Palmer . ",""" As vile a spot as I ever saw in my life , "" said Mr. Palmer . "
